entite,review_text,rating,rel_date
POLE EMPLOI DIGNE-PE,J'y travaille.,2,il y a 2 mois
POLE EMPLOI DIGNE-PE,Aucun,3,il y a 4 mois
POLE EMPLOI DIGNE-PE,Aucun,5,il y a 5 mois
POLE EMPLOI DIGNE-PE,"Franchement bravo a toute l équipe,qui à été à mon écoute et mon dossier n était vraiment pas facile de l acceuil aux référents une équipe formidable (md Allard/ mr Kevin / le responsable d équipe/la dame au cheveux bouclés noir toujours avec le sourire /le mr de l acceuil avec des lunette et une barbe)j ai toujours ete bien recue et accompagnée un grand merci.👏👏👏👏👏",5,il y a 6 mois
POLE EMPLOI DIGNE-PE,Aucun,2,il y a 7 mois
POLE EMPLOI DIGNE-PE,"Pas de suivie., on se fou des gent, aucun service.",1,il y a 8 mois
POLE EMPLOI DIGNE-PE,"Gros problème d'indemnisation a cause de mon employeur, j'ai eu à faire à 2 dames a l'accueil qui ont été super, Gentille, bienveillante...au moins quelqu'un qui ont pris mes soucis au sérieux ( le 3949 a par s'en prendre plein la tête jme demande bien à quoi ils servent)
En tout cas je remercie vraiment l'équipe de pôle emploi digne !",5,il y a 8 mois
POLE EMPLOI DIGNE-PE,Aucun,1,il y a 9 mois
POLE EMPLOI DIGNE-PE,Aucun,1,il y a un an
POLE EMPLOI DIGNE-PE,Aucun,5,il y a un an
POLE EMPLOI DIGNE-PE,Aucun,3,il y a 3 ans
POLE EMPLOI DIGNE-PE,Aucun,3,il y a 3 ans
POLE EMPLOI DIGNE-PE,Aucun,2,il y a 3 ans
POLE EMPLOI DIGNE-PE,Aucun,5,il y a 3 ans
POLE EMPLOI DIGNE-PE,"CATASTROPHIQUE!!!... DES INCOMPÉTENTS!!!... C'EST UNE HONTE!!!...
ET ENCORE JE RESTE POLIS... ET J'AURAIS SOUHAITER METTRE ZÉRO ÉTOILE MAIS POUR POUVOIR VALIDER LE COMMENTAIRE ON DOIT SELECTIONNER AU MOINS UNE ÉTOILE.... BRAVO!!!...",1,il y a 3 ans
POLE EMPLOI DIGNE-PE,"Pitoyable, on me demande attestation employeur, j ai donner, on me demande attestation sécu car je me suis fait opérer ligaments croisés donc en arrêt. On me fait un courrier me disant de me réinscrire quand je serai plus en arrêt. Mail non lu, et réponse qui n a rien à voir!!!! Tres déçu de digne, rien d autre a dire que pitoyable !!!! Quand on me répond pas qu il faut que j appelle la plate-forme car ma conseillère n ai pas une pro de l indemnisation !!!",1,il y a 4 ans
POLE EMPLOI DIGNE-PE,"Aucune aide reçue, moqueries et remarques totalement déplacées vis-à-vis de ma demande, et de mes problèmes de santé, et le jour où j'y suis allé, j'ai également vu une autre personne sortir de l'un des bureaux en pleurant. Je ne recommande absolument pas à qui que ce soit de s'inscrire là-bas pour y recevoir de l'aide.",1,il y a 4 ans
POLE EMPLOI DIGNE-PE,Questions sans réponse mail jamais ouvert  travail depuis l’âge de 14 ans et on me propose une indemnisation pitoyable quand on a un loyers des charges être surendettée à l’âge  de 20 ans et rester sans indemnisation c’est inadmissible je demande une allocation chômage uniquement de 2 mois car je reprend le travail au mois de septembre je cotise et paye pour mes droits tous les mois c’est scandaleux. Et biensure quand on arrive à pôle emploi on nous parle comme si on était les derniers des cons. Je dois déménager pour mes études je ne peut même pas ! Pff 🙄,1,il y a 4 ans
POLE EMPLOI DIGNE-PE,"Le pire Pôle Emploi jamais vu en France, le directeur et la sous directrice, 2 arrivistes qui n'ont qu'un objectif   virer les demandeurs d'emploi .Même si vous avez une excuse béton, genre vous êtes à l'article de la mort ,avec certificat médical à l'appui du croque-mort, ces 2  pieds nickelés , obsédés par leurs statistiques  et par là même par leur avancement de carrière  vous radieront . Bref des carriéristes  bien méprisables ....",1,il y a 4 ans
POLE EMPLOI DIGNE-PE,"Des incompétents qu'il ne font pas leur boulot et se permette de bloquer les mails que j'envoie sans réponse cohérente à mes questions il m'ont laissé 6mois sans indemnités suite à une démission justifiée c'est une honte j'ai travaillé toute ma vie payé des charges sur mes salaires et on me répond que je n'ai aucun droit
Vive la France",1,il y a 4 ans
POLE EMPLOI DIGNE-PE,Aucun,1,il y a 5 ans
POLE EMPLOI DIGNE-PE,Aucun,1,il y a 5 ans
