Description;accueil;Description_2;Description_3;clusters
rien ne fonctionne  complexe conseillers qui vendent leur produit pour prouver qu ils servent a qlq chosegros budget pour peu de resultatsquand le gouvernement va reagir et fermer ces etablissements qui coutent tres cherje remercie les agences d interim ;1;['vendent', 'produit', 'prouv', 'qlq', 'chosegros', 'budget', 'resultatsquand', 'gouvern', 'reag', 'ferm', 'etabl', 'coutent', 'cherj', 'agenc', 'interim'];vendent produit prouv qlq chosegros budget resultatsquand gouvern reag ferm etabl coutent cherj agenc interim;-1
le 19 avril 2017  j ai ete licencie de mon poste d hotesse d accueil en entreprise sans preavis et sans procedureje me suis inscrite au pole emploi d asnieres sur seine le en avril 2017 de la ville d asnieres sur seinele pole emploi a refuse de finaliser la procedure dama qui permet la transmission de mon actualisation au pole emploi pour le versement de mes indemnites de chomage tout les mois  j ai ete oblige de reclamer a l accueil une attestation d actualisation que j envoyais moi meme par e mail au gestionnaire de la reunion des musees nationaux  les delais de versement de mes indemnites de chomage n etaient pas respectes  le pole emploi ne me remettait pas d attestation de versement de mon chomage  j ai ete accueilli a chaque fois comme une personne etrangere et en situation d irregularites  j ai ete denigre suite a mon demenagement vers la ville de capesterre belle eau  le pole emploi m a informe que la transmission de mon dossier vers la guadeloupe prendrait plus d une annee le pole emploi de capesterre belle eau a dit que j etais inscrite au pole emploi depuis le 13 fevrier 2018  je me suis toujours actualise dans les delais  le pole emploi a modifie a plusieurs reprises ma date d inscription au pole emploi le pole emploi de capesterre belle eau a refuse de l accorder l aide a l obtention du permis de conduire  le pole emploi a refuse de me remettre l entierete de mes indemnites de chomage salarie le pole emploi a refuse de me remettre mes indemnites d artiste auteur pour mon activite de creatrice textileplusieurs demandes de formation m ont ete refuse ;1;['19', '2017', 'licenc', 'hotess', 'preav', 'procedurej', 'inscrit', 'asnier', 'sein', '2017', 'asnier', 'seinel', 'procedur', 'indemnit', 'chomag', 'reclam', 'attest', 'e', 'gestionnair', 'muse', 'national', 'indemnit', 'chomag', 'respect', 'remet', 'attest', 'chomag', 'person', 'etranger', 'irregularit', 'denigr', 'demenag', 'capesterr', 'eau', 'dossi', 'guadeloup', 'prendr', 'capesterr', 'eau', 'inscrit', '13', '2018', 'capesterr', 'eau', 'accord', 'obtent', 'conduir', 'remettr', 'entieret', 'indemnit', 'chomag', 'remettr', 'indemnit', 'artist', 'auteur', 'creatric', 'textileplusieur', 'format'];19 2017 licenc hotess preav procedurej inscrit asnier sein 2017 asnier seinel procedur indemnit chomag reclam attest e gestionnair muse national indemnit chomag respect remet attest chomag person etranger irregularit denigr demenag capesterr eau dossi guadeloup prendr capesterr eau inscrit 13 2018 capesterr eau accord obtent conduir remettr entieret indemnit chomag remettr indemnit artist auteur creatric textileplusieur format;3
je suis un senior de 58 ans qui a souhaite devenir autoentrepreneur apres son licenciement fin mars  j ai sollicite a plusieurs reprises mon conseiller pole emploi pour m aider dans mes demarches   pas le temps de me recevoir  j ai commis une erreur en construisant mon dossier qui aurait pu etre eviter si j avais beneficie de l aide demandee  j ai trouve une mission suite a 4 entretiens avec une societe de prestations dans le cadre de ma nouvelle entreprise  celle ci  debutera debut mai prochain  il est important d etre soutenu dans la premiere periode de chomage car cela determine son investissement personnel et sa politique de recherche d emploi  l humain est important pour affronter l epreuve du chomage  internet ne suffit pas     ;1;['senior', '58', 'deven', 'autoentrepreneur', 'licenci', 'demarch', 'comm', 'construis', 'dossi', 'benefic', 'demande', 'debut', 'soutenu', 'chomag', 'determin', 'invest', 'personnel', 'polit', 'affront', 'epreuv', 'chomag', 'internet', 'suff'];senior 58 deven autoentrepreneur licenci demarch comm construis dossi benefic demande debut soutenu chomag determin invest personnel polit affront epreuv chomag internet suff;-1
bonjour j ai eu recemment un rendez vous avec ma nouvelle conseillere pole emploi  avant meme de l avoir rencontre j avais une tres grosse apprehension sur le fait qu elle ne serait pas capable de repondre a mes questions  ni meme de trouver des solutions a mon changement de situation professionnel mais au final  une tres belle rencontre  elle a ete attentive  encourageante  pleine de bons conseils que je suis a la lettre  elle m a bien remotivee et relancer gout a mon projet  pour tout cela merci  ;1;['recent', 'gross', 'apprehens', 'capabl', 'solut', 'encourag', 'plein', 'remotive', 'gout'];recent gross apprehens capabl solut encourag plein remotive gout;-1
je suis venu avoir de l aide au pole emploi 7 collines pour pouvoir de reinscrire chez pole emploi car j ai ete radie suite a l expiration de mon titre de sejour  j ai ete accueilli par un jeune service civique qui m a bien explique la raison de ma radiation et qui ma aide a pouvoir me reinscrire j en suis satisfait ;1;['venu', 'collin', 'reinscrir', 'expir', 'sejour', 'jeun', 'servic', 'civiqu', 'reinscrir', 'satisf'];venu collin reinscrir expir sejour jeun servic civiqu reinscrir satisf;2
bonjour je tenais a raconter une experience que j ai vecu avec pole emploi  c est un accompagnement dans le cadre d un programme de groupe qui nous a emmene a reflechir a comment se reprendre en charge afin d aller de l avant en d autre termes comment etre resilient et reussir a rebondir  on a ete accompagnes par un psychologue du travail et une conseillere  l evolution est tres interessante et m a enormement aide a voir les choses du bon cote afin de reprendre confiance en moi et d aller de l avant en depassant les prejuges  on etait le premier groupe a tester cela et j espere que d autres personnes pourront en beneficier ;1;['ten', 'racont', 'programm', 'group', 'emmen', 'reflech', 'resilient', 'reuss', 'rebond', 'psychologu', 'evolu', 'depass', 'prejug', 'group', 'test', 'person', 'pourront'];ten racont programm group emmen reflech resilient reuss rebond psychologu evolu depass prejug group test person pourront;-1
apres la perte de mon emploi  j ai ete tres bien conseillee et suivie par le pole emploi de la ville de lunel  ma conseillere ainsi que toute l equipe ont ete remarquables  ils font un travail extraordinaire  en termes d aide pour une resilience personnelle  ou au niveau des formations qu ils proposent  il est important de notifier ;1;['conseille', 'lunel', 'equip', 'remarqu', 'extraordinair', 'resilient', 'personnel', 'format', 'proposent', 'notifi'];conseille lunel equip remarqu extraordinair resilient personnel format proposent notifi;-1
tres bonne experience  une conseillere a l ecoute et tres reactive a toutes mes interrogations et besoins  ;1;['reactiv', 'interrog', 'besoin'];reactiv interrog besoin;-1
la plupart du temps  l image de pole emploi et de ses conseillers est plutot percue negativement  apres un job saisonnier  je suis allee deposee mon certificat de travail chez pole emploi et le conseiller qui m a recu m a propose d integrer un dispositif de 3 mois nomme  club cadres   consecutivement a une seance d information et un entretien pour valider l integration  j ai ete membre de ce groupe durant 3 mois lors des rdv hebdomadaires  les conseillers nous faisaient travailler cv  lettres de motivation  entretien de recrutement  nous avons egalement aborde les nouvelles techniques de recrutement  rencontre des professionnels   entreprises et aussi cabinet rh afin de faire un 360  du marche du travail  au sein du club  6 participants sont retournes a l emploi et les autres sont remobilises  confiants cette experience permet de sortir de l isolement  de la devalorisation du fait du non emploi et complete parfaitement le dispositif propose par exemple par l apec  certes cela demande une reel investissement des conseillers et des membres du club entre chaque seance  et c est ce qui en fait la richesse et l efficacite ;1;['plupart', 'imag', 'percu', 'job', 'saisonni', 'depose', 'certificat', 'integr', 'nomm', 'club', 'cadr', 'consecut', 'seanc', 'integr', 'membr', 'group', 'rdv', 'hebdomadair', 'abord', 'techniqu', 'cabinet', 'rh', '360', 'sein', 'club', 'remobilis', 'confi', 'isol', 'devaloris', 'apec', 'cert', 'invest', 'membr', 'club', 'seanc', 'richess', 'efficacit'];plupart imag percu job saisonni depose certificat integr nomm club cadr consecut seanc integr membr group rdv hebdomadair abord techniqu cabinet rh 360 sein club remobilis confi isol devaloris apec cert invest membr club seanc richess efficacit;3
depuis plus de 8 mois  je cherche du travail  je postule tous les jours et rien  j ai recu un courrier pour appeler la ligne verte  apres 3 jours j ai recu un appel d une conseillere pole emploi courbessac qui m a donner rendez vous ce vendredi 13  en arrivant  j ai ete surprise  je m attendais pas a ca   une femme incroyable  a l ecoute  qui a de suite pris en compte ma situation en m aidant a la recherche d emploi  j ai meme un rendez vous avec un employeur pour un entretien d embauche  je croise les doigts  la seule chose que j ai a dire c est que ma conseillere est en quelque sorte mon ange gardien  merci pour tout du fond du cur  aujourd hui je partage mon experience et j en suis tres contente  ne baissez jamais les bras  tot ou tard a force de persuasion vos efforts finiront par etres recompenses ;1;['courri', 'vert', 'courbessac', 'vendred', '13', 'arriv', 'attend', 'femm', 'compt', 'employeur', 'crois', 'doigt', 'ange', 'gardien', 'fond', 'cur', 'partag', 'content', 'baiss', 'bras', 'tot', 'persuas', 'effort', 'etre', 'recompens'];courri vert courbessac vendred 13 arriv attend femm compt employeur crois doigt ange gardien fond cur partag content baiss bras tot persuas effort etre recompens;2
