Description;accueil;Description_2;Description_3;clusters
franchement bravo a toute l equipe qui a ete a mon ecoute et mon dossier n etait vraiment pas facile de l acceuil aux referents une equipe formidable  md allard  mr kevin   le responsable d equipe la dame au cheveux boucles noir toujours avec le sourire  le mr de l acceuil avec des lunette et une barbe j ai toujours ete bien recue et accompagnee un grand merci      ;1;['equip', 'doss', 'acceuil', 'equip', 'formid', 'md', 'allard', 'mr', 'kevin', 'respon', 'equip', 'cheveux', 'boucl', 'noir', 'sour', 'mr', 'acceuil', 'lunet', 'barb'];equip doss acceuil equip formid md allard mr kevin respon equip cheveux boucl noir sour mr acceuil lunet barb;0
gros probleme d indemnisation a cause de mon employeur  j ai eu a faire a 2 dames a l accueil qui ont ete super  gentille  bienveillante   au moins quelqu un qui ont pris mes soucis au serieux   le 3949 a par s en prendre plein la tete jme demande bien a quoi ils servent  en tout cas je remercie vraiment l equipe de pole emploi digne  ;1;['indemn', 'employeur', 'gentill', 'souc', '3949', 'tet', 'jme', 'equip', 'dign'];indemn employeur gentill souc 3949 tet jme equip dign;-1
accueil   irreprochable    ;1;['irreproch'];irreproch;-1
    en periode de covid 19    l organisation est impeccable        masque   obligatoire et gel hydroalcolique a disposition    les retards sont bien geres    le personnel    vraiment professionnel    allez y vraiment sans stress     ;1;['covid', '19', 'impecc', 'masqu', 'gel', 'hydroalcol', 'retard', 'personnel', 'stress'];covid 19 impecc masqu gel hydroalcol retard personnel stress;-1
bonne agence   bonne prise en charge de mon dossier conseiller a l ecoute et competent    contrairement a l agence dijon  est de quetigny   une catastrophe  ;1;['agenc', 'doss', 'competent', 'agenc', 'dijon', 'quetigny'];agenc doss competent agenc dijon quetigny;1
je trouve que l on critique beaucoup les conseillers pole emploi et les services proposes par cette administration  mais moi depuis que je suis inscrite  j ai toujours ete bien accueillie et conseillee par les conseillers pole emploi   ils font ce qu ils peuvent et c est pas toujours evident    ;1;['critiqu', 'servic', 'administr', 'inscrit'];critiqu servic administr inscrit;1
l acces est tres simple les conseillers sont tres competant et souriant;1;['compet', 'sour'];compet sour;0
structure nationale tristement celebre pour son inefficacite au fil des annees;1;['structur', 'national', 'trist', 'celebr', 'inefficac', 'fil'];structur national trist celebr inefficac fil;0
c est indique ouvert le lundi 31 octobre sur internet puis arrivee devant la porte il est notifie que l agence est ferme  le 31 10 n est pas un jour ferie  ;1;['ouvert', 'lund', '31', 'internet', 'agenc', 'ferm', '31'];ouvert lund 31 internet agenc ferm 31;-1
bon accueil ;1;[];;-1
ca fait trois fois que je viens pour motif de changement des indemnisations on m a dit trois quelque chose de different les gens ont l air competents pourtant l information est peut etre mal transmise ou pas du tout  formez vos collaborateurs    ;1;['indemn', 'air', 'competent', 'collabor'];indemn air competent collabor;1
j ai ete inscrite a cette agence en aout 2022 suivi par une dame  dont je ne mentionnerais pas le nom  que je n ai  entre autres  jamais rencontrer    je possede a ce jour une rqth et une oeth qui de ce fait normalement doit etre suivi par cap emploi   mais cap emploi justement    parlons en   un organisme qui doit aider et accompagner les personnes en situation de handicap mais qui n ai autres qu un organisme finance par l etat et qui ne sert a rien   car a l heure d aujourd hui il fusionne avec cette organisme d incompetents qui n ai autre que pole emploi    en 6 mois ils m ont proposer une sorte de formation  bilan de competences  avec archer    bilan  qui n a servi a rien car en sachant qu auparavant j avais deja effectue un bilan de competences financer par la cpam    j ai recontacter par la suite ma conseillere pole emploi qui m a inviter a me presenter a l agence des lors que des offres d emploi ou de formations ce presenterait dans n importe quelles domaines    en sachant que justement je ne peux travailler dans n importe quelles secteurs    du grand n importe quoi   ne comptez absolument pas sur eux pour trouver un emploi  ;1;['inscrit', 'agenc', 'possed', 'rqth', 'oeth', 'cap', 'cap', 'just', 'parlon', 'person', 'handicap', 'financ', 'fusion', 'incompetent', 'format', 'archer', 'serv', 'auparav', 'financ', 'cpam', 'recontact', 'invit', 'agenc', 'offre', 'format', 'domain', 'just', 'compt'];inscrit agenc possed rqth oeth cap cap just parlon person handicap financ fusion incompetent format archer serv auparav financ cpam recontact invit agenc offre format domain just compt;0
le personel manque vraiment d empathie envers les personnes inscrits au pole emploi aucune discretion concernant le traitement de nos donnees personnelles on demande aux conseilleres une aide sur les ordinateurs concernent notre espace personnel documents a scanner ect ect on a l impression de les deranger plus qu autre chose    aucun sourire c est a peine si on vous dit bonjour  je suis profondement choquee par ce manque de politesse et de discretion  vraiment il manque une formation a ce personel sur le site romans;1;['personel', 'empath', 'enver', 'person', 'inscrit', 'discret', 'personnel', 'concernent', 'personnel', 'docu', 'ect', 'ect', 'impress', 'derang', 'sour', 'profond', 'choqu', 'politess', 'discret', 'format', 'personel', 'roman'];personel empath enver person inscrit discret personnel concernent personnel docu ect ect impress derang sour profond choqu politess discret format personel roman;-1
j ai ete au pole emploi de romans pour m inscrire au plan d aide de recherche d emploi pour les 18 25 ans  lors de l entretien  le conseiller me demande mes origines  bien que cette question soit peu approprie  je n y ai vu aucun mal et j ai aimablement repondu que je suis antillais  suite a ca j ai eu le droit a des remarques desobligeantes du genre  par contre il faut que vous soyez vif  parceque vous les antillais c est doucement le matin  pas trop vite l apres midi     j etais choque  a present j ai 25 ans  cela fait maintenant 4 ans que j attend leurs pseudo  aide  que je n ai jamais obtenu meme apres l obtentionde mon caces 1 3 5  mon dossier a surement ete  perdu   et meme si je ne sais pas comment il s est perdu je sais tres bien pourquoi ;1;['roman', 'plan', '18', 'origin', 'appropr', 'aimabl', 'antill', 'remarqu', 'desoblig', 'vif', 'parcequ', 'antill', 'douc', 'choqu', 'attend', 'pseudo', 'obtenu', 'obtentiond', 'cac', 'doss'];roman plan 18 origin appropr aimabl antill remarqu desoblig vif parcequ antill douc choqu attend pseudo obtenu obtentiond cac doss;0
tres bon accueil  reponses efficaces et bienveillante ;1;['repon', 'efficac'];repon efficac;-1
quand au telephone on a une personne agreable qui nous confirme que je peux accompagner mon mari a son rdv et qu en arrivant on tombe sur une personne desagreable qui refuse que je rentre avec lui  il y a de quoi etre agacee sachant que j avais pris mon apres midi specialement pour cet entretien    et que d autres sont autorises   ;1;['person', 'confirm', 'rdv', 'arriv', 'person', 'agac', 'special', 'autor'];person confirm rdv arriv person agac special autor;-1
merci a la conseillere sara et a pole emploi romans d avoir enfin recruter des personnes aimable  serviable et qui prennent bien le temps  de repondre au mieux a nous demandeur d emploi   en effet  je souhaitais feliciter cette conseillere sara en particulier   elle a fait preuve de professionnalisme et bienveillance envers nous demandeurs d emploi qui sommes bien souvent  neglige    enfin  je tenais a vraiment prendre le temps de souligner l attitude profesionnelle de cette personne  car oui  quand ca se passe bien  il faut aussi le dire   bonne continuation a cette dame  au plaisir ;1;['sar', 'roman', 'person', 'aimabl', 'serviabl', 'prennent', 'felic', 'sar', 'professionnal', 'enver', 'neglig', 'ten', 'soulign', 'attitud', 'profesionnel', 'person', 'plais'];sar roman person aimabl serviabl prennent felic sar professionnal enver neglig ten soulign attitud profesionnel person plais;-1
une honte d accueillir les recrutements de la sfam dans vos locaux  le recruteur ludovic n a aucune honte  il convoque a 9h30 pour prendre qu a 10h30 et si il nous a deja eu en entretien pour un autre poste il nous refuse l entretien  pourquoi nous convoquer dans ce cas la    bien a l image de la societe pour qui il travaille  des escrocs notoires sans education juste bon a arnaquer des gens sans defenses;1;['sfam', 'recruteur', 'ludovic', 'convoqu', '9h30', '10h30', 'convoqu', 'imag', 'escroc', 'notoir', 'educ', 'arnaqu', 'defen'];sfam recruteur ludovic convoqu 9h30 10h30 convoqu imag escroc notoir educ arnaqu defen;0
ce matin je suis alle car j avais un probleme d inscription je suis tombe sur une dame qui s appelle joel et je la remercierai jamais assez pour sa patience et gentillesse  il faut mettre plus de personnes comme elle dans cette agence encore merci car malheureusement les autres fois ou je suis alle je suis toujours tombe sur des personnes qui voulait rien savoir;1;['joel', 'patienc', 'gentilless', 'person', 'agenc', 'person'];joel patienc gentilless person agenc person;-1
superbe accueil  personnel disponible et souriant  me le a travers le masque ;1;['superb', 'personnel', 'sour', 'trav', 'masqu'];superb personnel sour trav masqu;-1
faire faire 80 km pour un rendez vous inutile qui a consiste a scanner mon passeport  scandaleux  ;1;['80', 'km', 'consist', 'passeport', 'scandal'];80 km consist passeport scandal;1
ils sont t tres a  l ecoute au pole  emploi rouen saint sever ils nous donne de bons conseils seille et sont tres aimable rin a  y redire;1;['rouen', 'saint', 'sev', 'seil', 'aimabl', 'rin', 'red'];rouen saint sev seil aimabl rin red;0
