Description;accueil;Description_2;Description_3;clusters
franchement bravo a toute l equipe qui a ete a mon ecoute et mon dossier n etait vraiment pas facile de l acceuil aux referents une equipe formidable  md allard  mr kevin   le responsable d equipe la dame au cheveux boucles noir toujours avec le sourire  le mr de l acceuil avec des lunette et une barbe j ai toujours ete bien recue et accompagnee un grand merci      ;1;['equip', 'dossi', 'acceuil', 'equip', 'formid', 'md', 'allard', 'mr', 'kevin', 'respons', 'equip', 'cheveux', 'boucl', 'noir', 'sourir', 'mr', 'acceuil', 'lunet', 'barb', 'accompagne'];equip dossi acceuil equip formid md allard mr kevin respons equip cheveux boucl noir sourir mr acceuil lunet barb accompagne;0
gros probleme d indemnisation a cause de mon employeur  j ai eu a faire a 2 dames a l accueil qui ont ete super  gentille  bienveillante   au moins quelqu un qui ont pris mes soucis au serieux   le 3949 a par s en prendre plein la tete jme demande bien a quoi ils servent  en tout cas je remercie vraiment l equipe de pole emploi digne  ;1;['indemnis', 'employeur', 'gentill', 'souc', '3949', 'tet', 'jme', 'equip', 'dign'];indemnis employeur gentill souc 3949 tet jme equip dign;-1
accueil   irreprochable    ;1;['irreproch'];irreproch;1
    en periode de covid 19    l organisation est impeccable        masque   obligatoire et gel hydroalcolique a disposition    les retards sont bien geres    le personnel    vraiment professionnel    allez y vraiment sans stress     ;1;['covid', '19', 'impecc', 'masqu', 'gel', 'hydroalcol', 'retard', 'personnel', 'stress'];covid 19 impecc masqu gel hydroalcol retard personnel stress;-1
bonne agence   bonne prise en charge de mon dossier conseiller a l ecoute et competent    contrairement a l agence dijon  est de quetigny   une catastrophe  ;1;['agenc', 'dossi', 'competent', 'agenc', 'dijon', 'quetigny'];agenc dossi competent agenc dijon quetigny;-1
je trouve que l on critique beaucoup les conseillers pole emploi et les services proposes par cette administration  mais moi depuis que je suis inscrite  j ai toujours ete bien accueillie et conseillee par les conseillers pole emploi   ils font ce qu ils peuvent et c est pas toujours evident    ;1;['critiqu', 'servic', 'administr', 'inscrit', 'conseille'];critiqu servic administr inscrit conseille;1
l acces est tres simple les conseillers sont tres competant et souriant;1;['compet', 'souri'];compet souri;1
structure nationale tristement celebre pour son inefficacite au fil des annees;1;['structur', 'national', 'trist', 'celebr', 'inefficacit', 'fil'];structur national trist celebr inefficacit fil;1
c est indique ouvert le lundi 31 octobre sur internet puis arrivee devant la porte il est notifie que l agence est ferme  le 31 10 n est pas un jour ferie  ;1;['ouvert', 'lund', '31', 'internet', 'arrive', 'agenc', 'ferm', '31'];ouvert lund 31 internet arrive agenc ferm 31;-1
bon accueil ;1;[];;-1
