Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;courrier;accueil;reseaux sociaux;Description_2;Description_3;clusters
alors que nous recevons un avis d impots sur le revenu et un seul par an  pole emploi nous demande cet avis deux fois par an pour le renouvellement ass qui a lieu tous les 6 mois  ne pourrait on pas faire l economie de ce doublon  afin que nous ne soyons plus des milliers a envoyer a pole emploi le meme document deux fois de suite ;1;0;0;0;0;0;0;['recevon', 'impot', 'renouvel', 'ass', 'doublon', 'milli', 'docu'];recevon impot renouvel ass doublon milli docu;-1
au 13 12   le site de reactualisation de pole emploi ne fonctionne pas  il est impossible de se connecter alors qu il est mentionne  vos services principaux restent accessibles malgre l indisponibilite momentanee de pole emploi frveuillez nous excuser pour la gene occasionnee comment faire  alors  ;0;1;0;0;0;0;0;['13', 'reactualis', 'connect', 'restent', 'accessibl', 'indisponibilit', 'momentane', 'frveuill', 'occasionne'];13 reactualis connect restent accessibl indisponibilit momentane frveuill occasionne;-1
je viens de contacter pole emploi au sujet d une attestation a fournir concernant une femme de menage employee par une personne decedeeil m est demande d ouvrir un compte employeur  ceci donc pour une personne decedee  afin de pouvoir etablir ladite piecelorsque j ai demande a mon interlocuteur s il n etait pas possible d etablir une simple attestation sur l honneur comportant toutes les informations d emploi de la femme de menage   il m a ete repondu que ce n etait pas un document officiel  meme s il comportait tous les renseignements necessaires a l etude du dossierje trouve absurde de devoir ouvrir un compte qui sera immediatement clos puisque le titulaire est decede et que cela complexifie considerablement la procedure alors que la declaration sur l honneur est reconnue et acceptee dans d autres administrationsvous avez dit simplification   ;0;0;1;0;0;0;0;['contact', 'attest', 'femm', 'menag', 'employe', 'decedeeil', 'compt', 'employeur', 'cec', 'decede', 'etabl', 'ladit', 'piecelorsqu', 'interlocuteur', 'etabl', 'attest', 'honneur', 'femm', 'menag', 'docu', 'officiel', 'etud', 'dossierj', 'absurd', 'compt', 'immediat', 'clos', 'titulair', 'deced', 'complexif', 'procedur', 'declar', 'honneur', 'reconnu', 'accepte', 'administrationsvous'];contact attest femm menag employe decedeeil compt employeur cec decede etabl ladit piecelorsqu interlocuteur etabl attest honneur femm menag docu officiel etud dossierj absurd compt immediat clos titulair deced complexif procedur declar honneur reconnu accepte administrationsvous;2
pole emploi   simulateur d indemnisation si reprise d emploi   peu comprehensiblevoici le lien   https   candidat pole emploi fr candidat simucalcul repriseemploion nous parle de  gain brut  sans aucune bulle d aide pour expliquer  c est incomprehensible   salaire brut   mensuel   journalier   difference salaire allocation   mensuelle  vraiment concu a la va vite  ce simulation en finit pas ne pas etre utile  dommage   ;1;1;0;0;0;0;0;['simul', 'indemnis', 'comprehensiblevoic', 'lien', 'http', 'simucalcul', 'repriseemploion', 'gain', 'bull', 'incomprehensibl', 'salair', 'journali', 'salair', 'alloc', 'concu', 'simul', 'util'];simul indemnis comprehensiblevoic lien http simucalcul repriseemploion gain bull incomprehensibl salair journali salair alloc concu simul util;2
bonjour ma mere de 73 ans atteinte de demence a une auxiliaire tous les jours  payee au cesu  nous devons en licencier une pour abandon de poste je m occupe des documents de solde de tout compte  etant chef d entreprise specialisee dans la rh  et assez au fait des procedures legales   je ne sais pas comment font les particuliers employeurs qui n ont aucune connaissance dan ce domaine    car le cesu gere par l urssaf n aide en rien sur ce point pour faire l attestation pole emploi  une fois qu on a cree son espace particulier employeur  deja complexe   pourquoi pas un service integre cesu pole emploi   il faut renseigner un code cesu  sinon on ne peut rien faire  je prends copie colle celui notre code cesu sur le site du cesu  message d erreur du site pole emploi   numero invalide20 min de recherches google plus tard  je finis par trouver sur un forum qu il fallait remplacer le premier 0 par un z     mais bien sur    fallait le deviner  ecrit nulle part sur site pole emploi  rien mais comment peut on croire que l employeur particulier moyen va s en sortir  il est certain qu une telle erreur prive de droits pole emploi quantite d aides a domicile qui ne vont pas se battre ni emmener leur ancien employeur aux prud hommes pour des emplois a temps tres partiel     bien qu ayant paye les memes cotisations que tout le monde j espere que le pole emploi corrigera en mettant au moins une info bulle pour savoir qu il faut remplacer le 0 par un z    afin que les  petites mains  qui font que nos seniors peuvent rester a domicile soient correctement traitees   ;0;1;0;0;0;0;0;['mer', '73', 'atteint', 'demenc', 'auxiliair', 'paye', 'devon', 'licenci', 'abandon', 'occup', 'docu', 'sold', 'compt', 'chef', 'specialise', 'rh', 'procedur', 'legal', 'employeur', 'dan', 'urssaf', 'attest', 'employeur', 'integr', 'prend', 'coll', 'invalide20', 'min', 'googl', 'forum', 'remplac', 'z', 'devin', 'null', 'employeur', 'tel', 'quantit', 'battr', 'emmen', 'employeur', 'prud', 'homm', 'pay', 'corrig', 'info', 'bull', 'remplac', 'z', 'main', 'senior', 'traite'];mer 73 atteint demenc auxiliair paye devon licenci abandon occup docu sold compt chef specialise rh procedur legal employeur dan urssaf attest employeur integr prend coll invalide20 min googl forum remplac z devin null employeur tel quantit battr emmen employeur prud homm pay corrig info bull remplac z main senior traite;3
il serait bien que le site internet de pole emploi soit dote d une messagerie interne pour que l on puisse communiquer avec son conseiller en tout securite cela offre de nombreux avantages   plus de securite   pas de divulgation des adresses e mails   conversation archives   on est sur sur les messages sont bien recus et bien envoyes   un meilleur suivi des echanges   etc  le site de la caf est dote d un tel dispositif  c est efficace et simple pole emploi doit s en inspirer ;0;1;0;0;0;0;0;['internet', 'dot', 'messager', 'intern', 'communiqu', 'securit', 'offre', 'avantag', 'securit', 'divulg', 'e', 'archiv', 'recus', 'meilleur', 'caf', 'dot', 'tel', 'inspir'];internet dot messager intern communiqu securit offre avantag securit divulg e archiv recus meilleur caf dot tel inspir;0
suite a la fin d un cdd  j ai eu une periode de chomage tres courte durant laquelle je n ai jamais pu percevoir d indemnites malgre mes nombreuses relances  sur le site de pole emploi  certains documents etaient declares comme illisibles alors que toutes les informations necessaires etaient parfaitement lisibles pour commencer  les documents ont d abord ete mis sur la plateforme dans les bonnes categories  mais il n y avait pas la possibilite de les mettre a jour quand on m a dit qu ils etaient illisibles  j ai donc mis de nouvelles copies des documents dans des categories qui ne leur correspondaient pas  j ai bien evidemment recu un message comme quoi je m etais trompe de categorie et que mes documents etaient refuses  ces categories ont ensuite ete bloquees et impossible de proceder a de nouveaux envois  j ai donc decide d envoyer mes documents par email  mais ils etaient trop lourds pour les adresses mails des employes  j ai donc utilise wetransfer et par mesure de precaution j ai envoye les copies des documents par la poste au pole emploi des hauts de seine  a rueil malmaison   quelques jours plus tard j ai ete radie pour ne pas avoir envoye mes documents  je me suis reinscrit et j ai recommence toute la procedure sans avoir eu gain de causes  j ai bien entendu precise ma situation a chaque fois par email ;1;1;0;1;1;0;0;['cdd', 'chomag', 'court', 'percevoir', 'indemnit', 'nombreux', 'docu', 'declar', 'illisibl', 'lisibl', 'docu', 'abord', 'plateform', 'categor', 'illisibl', 'docu', 'categor', 'tromp', 'categor', 'docu', 'categor', 'bloque', 'proced', 'envois', 'docu', 'lourd', 'wetransf', 'precaut', 'docu', 'haut', 'sein', 'rueil', 'malmaison', 'docu', 'reinscr', 'recomment', 'procedur', 'gain', 'caus', 'entendu'];cdd chomag court percevoir indemnit nombreux docu declar illisibl lisibl docu abord plateform categor illisibl docu categor tromp categor docu categor bloque proced envois docu lourd wetransf precaut docu haut sein rueil malmaison docu reinscr recomment procedur gain caus entendu;3
j ai effectue des recherches de formation sur le site internet de pole emploi j ai constate que mes criteres de recherche ne correspondaient pas aux resultats exemple   pour une recherche avec les termes   tissage chaine et trame  j obtiens uniquement des formations de creation de bougies ;1;0;0;0;0;0;0;['format', 'internet', 'criter', 'tissag', 'chain', 'tram', 'obtien', 'format', 'boug'];format internet criter tissag chain tram obtien format boug;1
bonjour j ai fait une demande d aide a la formation individuelle pour une formation cqp ssiap 1 qui se trouve a 1 km de chez moi car je n ai pas la possibilite de me deplacer tres loin   j  ai envoye le devis de 1490 euro a mon conseiller d ou je rajoute la totalite de mon cpf qui s eleve a presque 400 euro pole emploi a refuse mon devis et malgre une promesse d embauche rajouter au dossier ils m ont envoye vers le site defi metiers pour trouver la meme formation conventionnee  mais a 30 km de chez moi et dont le devis s eleve a 4000 euro  la personne qui m a recu donc au premier centre de formation qui est une ancienne conseillere pole emploi m a montre des devis accepte pour la meme demande donc d aide a la formation individuelle  je comprend pas pourquoi on aide certaines personnes et pas les autres  ;0;1;1;0;0;0;0;['format', 'individuel', 'format', 'cqp', 'ssiap', 'km', '1490', 'rajout', 'totalit', 'cpf', 'elev', '400', 'promess', 'rajout', 'dossi', 'def', 'format', 'conventionne', 'km', 'elev', '4000', 'format', 'montr', 'format', 'individuel'];format individuel format cqp ssiap km 1490 rajout totalit cpf elev 400 promess rajout dossi def format conventionne km elev 4000 format montr format individuel;1
j ai un projet de creation d entreprise pour la rentree de septembre  j ai envoye un mail a ma conseillere le 10 06  a ce jour je suis toujours sans reponse  j ai pourtant besoin d eclaircissements avant de pouvoir reellement avancer dans mes demarches;0;0;0;1;0;0;0;['rentre', '06', 'repons', 'eclairc', 'demarch'];rentre 06 repons eclairc demarch;3
