Description;telephone;Description_2;Description_3;clusters
gros probleme d indemnisation a cause de mon employeur  j ai eu a faire a 2 dames a l accueil qui ont ete super  gentille  bienveillante   au moins quelqu un qui ont pris mes soucis au serieux   le 3949 a par s en prendre plein la tete jme demande bien a quoi ils servent  en tout cas je remercie vraiment l equipe de pole emploi digne  ;1;['indemnis', 'employeur', 'gentill', 'souc', '3949', 'tet', 'jme', 'equip', 'dign'];indemnis employeur gentill souc 3949 tet jme equip dign;-1
des incapables pas professionnel  1y pour les avoir au telephone et apres elle se permet de traiter les gens de mauvaise fois pour leur incapacite franchement a fuir;1;['1y', 'incapacit', 'fuir'];1y incapacit fuir;-1
desagreable et mauvais  si vous n avez besoin de rien appelez les    et au passage perder 3 4 heures au telephone ;1;['mauv', 'passag', 'perd'];mauv passag perd;2
lors de son appel la conseillere ne s interesse pas vraiment a mon projet professionnel  elle ne demande aucun renseignement aucun justificatif  et me dit qu il faut que je fasse paye ma formation avec mon cpf car le pole emploi ne payera pas  et attention on me dirige vers une formation qui a rien a voir avec ce que je veux faire et mes competences  encore une fois tres decu  je me demande a quoi sert ce truc au final  le pole emploi a juste contribue a me garder au chomage  en voulant m oriente vers ce qui les arranges et non pas par ce qui me plaie et faire ;1;['justif', 'fass', 'pay', 'format', 'cpf', 'pai', 'dirig', 'format', 'truc', 'contribu', 'gard', 'chomag', 'orient', 'arrang', 'plai'];justif fass pay format cpf pai dirig format truc contribu gard chomag orient arrang plai;1
quand au telephone on a une personne agreable qui nous confirme que je peux accompagner mon mari a son rdv et qu en arrivant on tombe sur une personne desagreable qui refuse que je rentre avec lui  il y a de quoi etre agacee sachant que j avais pris mon apres midi specialement pour cet entretien    et que d autres sont autorises   ;1;['person', 'confirm', 'rdv', 'arriv', 'person', 'agace', 'special', 'autoris'];person confirm rdv arriv person agace special autoris;-1
service indemnisation qui ne fait absolument pas son travail inscrit depuis avril 2020 on me dit que mon inscription est pris en compte en juin 2020 sauf que j ai toute les preuves qu il font n importe quoi et dise bien ce qu il veule pour bacler les dossier    demande des documents deja envoye plus de 20 fois     des reponses toute faite et qui ont rien a voir avec ce qu ils ont dit la veille en attendant j ai 1 mois dans le vent due a l incompetence de ces dernier mais je ne vais pas me laisser faire   la personne au bout du fil coupe la parole et meprisante desagreable soupire a tout bout de chant et ne veux absolument rien entendre pretextant que c est nous les con       mail et courrier envoye au directeur suite a l incompetence de ces derniers   bravo pole emploi la vous faite tres fort  ;1;['servic', 'indemnis', 'inscrit', 'compt', 'juin', 'preuv', 'veul', 'bacl', 'dossi', 'docu', 'repons', 'veil', 'attend', 'vent', 'du', 'incompetent', 'person', 'fil', 'coup', 'parol', 'mepris', 'soupir', 'chant', 'entendr', 'pretext', 'courri', 'directeur', 'incompetent', 'derni'];servic indemnis inscrit compt juin preuv veul bacl dossi docu repons veil attend vent du incompetent person fil coup parol mepris soupir chant entendr pretext courri directeur incompetent derni;1
au lieu de menacer ma fille d un avertissement de radiation pour un appel manque suite au mauvais fonctionnement reseau   ouais ca arrive     alors qu en plus elle sort d une formation de mars a juillet   et que la elle vient de debuter les vendanges        donc ouai vous allez recevoir le contrat via mail  aller donc faire des menaces aux personnes qui refusent vos formations ainsi que les vendanges et qui sont indemnises      ce qui n est pas le cas de ma fille      quand on change les conseilleres a longueur d annee il faudrait peut etre qu elle se mette les dossiers a jour dans leur crane   a bon entendeur    ;1;['fill', 'avert', 'mauv', 'reseau', 'ouais', 'format', 'juillet', 'vient', 'debut', 'vendang', 'ouai', 'contrat', 'person', 'refusent', 'format', 'vendang', 'indemnis', 'fill', 'longueur', 'dossi', 'cran', 'entendeur'];fill avert mauv reseau ouais format juillet vient debut vendang ouai contrat person refusent format vendang indemnis fill longueur dossi cran entendeur;1
des bon a rien  incapables de vous accompagner dans le processus de creation d entreprise   ils sont censes nous aider mais ne servent finalement a rien  conseiller qui doit vous rappeler mais qui ne le fait jamais  rdv pris a ma demande annules   pole emploi recrute  sur pole emploi ;1;['processus', 'rdv'];processus rdv;2
odieuses a l accueil telephonique  ;1;['odieux'];odieux;-1
rendez vous telephonique a 10h30  je crois que la conseillere m a oublie  j espere que le cafe n etait pas trop sucre   apres on dit que les jeunes ne veulent pas travailler   chapeau  ;1;['10h30', 'crois', 'caf', 'sucr', 'jeun', 'veulent', 'chapeau'];10h30 crois caf sucr jeun veulent chapeau;2
