Description;telephone;Description_2;Description_3;clusters
je viens de contacter pole emploi au sujet d une attestation a fournir concernant une femme de menage employee par une personne decedeeil m est demande d ouvrir un compte employeur  ceci donc pour une personne decedee  afin de pouvoir etablir ladite piecelorsque j ai demande a mon interlocuteur s il n etait pas possible d etablir une simple attestation sur l honneur comportant toutes les informations d emploi de la femme de menage   il m a ete repondu que ce n etait pas un document officiel  meme s il comportait tous les renseignements necessaires a l etude du dossierje trouve absurde de devoir ouvrir un compte qui sera immediatement clos puisque le titulaire est decede et que cela complexifie considerablement la procedure alors que la declaration sur l honneur est reconnue et acceptee dans d autres administrationsvous avez dit simplification   ;1;['contact', 'attest', 'femm', 'menag', 'employe', 'person', 'decedeeil', 'compt', 'employeur', 'cec', 'person', 'decede', 'etabl', 'ladit', 'piecelorsqu', 'interlocuteur', 'etabl', 'attest', 'honneur', 'femm', 'menag', 'docu', 'officiel', 'etud', 'dossierj', 'absurd', 'compt', 'immediat', 'clos', 'titulair', 'deced', 'complexif', 'procedur', 'declar', 'honneur', 'reconnu', 'accepte', 'administrationsvous'];contact attest femm menag employe person decedeeil compt employeur cec person decede etabl ladit piecelorsqu interlocuteur etabl attest honneur femm menag docu officiel etud dossierj absurd compt immediat clos titulair deced complexif procedur declar honneur reconnu accepte administrationsvous;2
bonjour j ai fait une demande d aide a la formation individuelle pour une formation cqp ssiap 1 qui se trouve a 1 km de chez moi car je n ai pas la possibilite de me deplacer tres loin   j  ai envoye le devis de 1490 euro a mon conseiller d ou je rajoute la totalite de mon cpf qui s eleve a presque 400 euro pole emploi a refuse mon devis et malgre une promesse d embauche rajouter au dossier ils m ont envoye vers le site defi metiers pour trouver la meme formation conventionnee  mais a 30 km de chez moi et dont le devis s eleve a 4000 euro  la personne qui m a recu donc au premier centre de formation qui est une ancienne conseillere pole emploi m a montre des devis accepte pour la meme demande donc d aide a la formation individuelle  je comprend pas pourquoi on aide certaines personnes et pas les autres  ;1;['format', 'individuel', 'format', 'cqp', 'ssiap', 'km', '1490', 'rajout', 'totalit', 'cpf', 'elev', '400', 'promess', 'rajout', 'dossi', 'def', 'format', 'conventionne', 'km', 'elev', '4000', 'person', 'format', 'montr', 'format', 'individuel', 'person'];format individuel format cqp ssiap km 1490 rajout totalit cpf elev 400 promess rajout dossi def format conventionne km elev 4000 person format montr format individuel person;0
ai eu besoin d une assistance au cours des declarations du chomage partiel  reponse immediate  pas d attente telephonique une jeune femme adorable  professionnelle  aide rapide et efficace  merci ;1;['declar', 'chomag', 'repons', 'immediat', 'jeun', 'femm', 'ador'];declar chomag repons immediat jeun femm ador;1
j ai ete bien accueilli lors de mon inscription a pe;1;[];;-1
depuis janviers 21 pour calculer l apl  la caf a acces au drm  dispositif de ressources mensuelles  afin d eviter les fraudes et diverses erreurs soit disant il se trouve que pour mon cas par exemple  les montants donnes par le pole emploi sont inexacts et impossible de ma part de les modifier  en appelant le pole emploi  ils etaient meme pas au courant et ne connaissaient pas ce que c est malgre mes explications ils finissant par me dire que  il doit y avoir une erreur et tout ce qu ils peuvent faire pour moi c est de me donner des attestations mais n ont pas la main dessus pour les modifier la caf de son cote bien qu ils aient acces a mes paiements et constatant les erreurs  ils ne tiennent compte que du drm  c est aberrant je me trouve coince et sans solution avec une dette pour un trop percu alors que je devrais pas en avoir si on calculait a partir des montants reellement percus voila les joies de l administration et de ce nouveau dispositif sans parler de certains salaries qui manquent de formation et d informations je suppose ;1;['21', 'apl', 'caf', 'drm', 'ressourc', 'fraud', 'divers', 'inexact', 'attest', 'main', 'dessus', 'caf', 'pai', 'constat', 'tiennent', 'compt', 'drm', 'aberr', 'coinc', 'det', 'percus', 'joi', 'administr', 'manquent', 'format', 'suppos'];21 apl caf drm ressourc fraud divers inexact attest main dessus caf pai constat tiennent compt drm aberr coinc det percus joi administr manquent format suppos;1
malgre les mails envoyes  2 semaines avant  pour demander un document indispensable pour une inscription a un concours  reorientation professionnelle  en precisant la date buttoir pour un des etablissements en vue  impossible d obtenir un rendez vous meme telephonique avant la dite date  resultat  la conseillere au telephone explique qu elle va envoyer le document des la fin de l appel  11h30   document recu a 15h  impossible a ouvrir  la derniere levee etant a 16h  deux jours apres la conseillere envoie un mail    desolee  je suppose qu il est trop tard   idem pour une convention de stage  document transmis il y a 3 semaines  stages dans 2 semaines  toujours aucun retour ;1;['docu', 'indispens', 'concour', 'reorient', 'buttoir', 'etabl', 'docu', '11h30', 'docu', '15h', 'leve', '16h', 'desole', 'suppos', 'idem', 'convent', 'docu'];docu indispens concour reorient buttoir etabl docu 11h30 docu 15h leve 16h desole suppos idem convent docu;1
je demande ma mise a la retraite  impossible d avoir un conseiller  pole emploi me demande un formulaire de regularisation de retraite impossible de l obtenir  a partir de mars  pole emploi ne me versera plus mes aides  ;1;['retrait', 'formulair', 'retrait'];retrait formulair retrait;-1
j ai trouve la perle rare  apres avoir fait toutes les demarches aupres de pole emploi pour le recrutement  d un salarie d origine argentine   j ai ete bloque dans la procedure de finalisation de ma demande d autorisation  le site internet ne fonctionne pas  clairement il y a vraiment un probleme  la ligne dediee non plus  je n ai jamais reussi a avoir qui que ce soit au telephone  mes differents courriers sont quasi tous restes sans reponse  j ai commence les demarches fin aout pour une embauche mi novembre  ce futur employe qui avait deja reserver son billet d avion est maintenant ici et je ne sais pas quoi lui dire puisque il n a pas pu avoir son visa de travail  je suis au pied du mur et lui d autant plus  je suis enerve  decu et desuvre  l heure est grave  c est bien de mettre en place des systeme moderne mais de conserver le papier c est bien aussi   ou de donner des alternatives quand cela ne fonctionne pas ;1;['perl', 'rar', 'demarch', 'origin', 'argentin', 'procedur', 'autoris', 'internet', 'dedie', 'courri', 'quas', 'rest', 'repons', 'demarch', 'mi', 'futur', 'reserv', 'billet', 'avion', 'pied', 'mur', 'enerv', 'desuvr', 'grav', 'system', 'modern', 'conserv', 'altern'];perl rar demarch origin argentin procedur autoris internet dedie courri quas rest repons demarch mi futur reserv billet avion pied mur enerv desuvr grav system modern conserv altern;1
aucune communication ou alors avec une machine qui demande des choses dont on a aucune idee  resultat je me sens rabaisse en tant que senior ;1;['machin', 'ide', 'rabaiss', 'senior'];machin ide rabaiss senior;1
voila  cela fait 2 ans consecutifs que pole emploi me redemande du trop percus  2 contrats que j ai du commencer en milieu de mois  dans le domaine d agent de collectivite locale le pourquoi ils me redemandent le trop percus est simple    les mairies font leur declaration de salaires au centre des impots vers le 20 de chaque mois  c est connu  et on est donc paye que le mois suivant  il semblerait que pole emploi considere qu il s agit de travail au noir pourtant on s actualise chaque mois  on leur signale ce probleme  mais pour des raisons inconnues  ils n en tiennent pas compte je demande au gouvernement de prendre en compte ce probleme que l on doit rencontrer egalement dans le prive afin de pouvoir vivre correctement de son travail merci d avoir lu mon commentaire et de le comprendre;1;['consecut', 'redemand', 'percus', 'contrat', 'milieu', 'agent', 'collectivit', 'redemandent', 'percus', 'mair', 'declar', 'salair', 'impot', 'pay', 'sembl', 'agit', 'noir', 'raison', 'inconnu', 'tiennent', 'compt', 'gouvern', 'compt', 'lu', 'commentair'];consecut redemand percus contrat milieu agent collectivit redemandent percus mair declar salair impot pay sembl agit noir raison inconnu tiennent compt gouvern compt lu commentair;1
lorsque j appelle pour demander de l aide ou une confirmation concernant des documents que j ai transmis a pole emploi  les personnes avec qui j echange au telephone ne sont pas gentilles et semblent agacees par mon appel  je pose des questions simples pour etre certain de bien comprendre les procedures et je recois des reponses prononcees sur un ton degradant et grossier  je ne suis pas en mesure de demander de l aide d une maniere positive et encourageante  mais j ai l impression de leur faire perdre leur temps  meme s ils sont la pour cela  de plus  je suis souvent oblige d appeler et de m assurer que mes documents et paiements sont faits  car ils semblent etre oublieux   compte tenu de ma situation de chomeur  je n ai pas besoin d etre deprime par les services censes m aider a trouver un emploi et a me reinserer dans la societe  je suis choque par le traitement que je recois   cordialement  personne a la recherche d un emploi;1;['docu', 'person', 'gentill', 'semblent', 'agace', 'simpl', 'procedur', 'repons', 'prononce', 'degrad', 'grossi', 'encourag', 'impress', 'assur', 'docu', 'pai', 'semblent', 'oublieux', 'compt', 'tenu', 'deprim', 'servic', 'reinser', 'choqu', 'person'];docu person gentill semblent agace simpl procedur repons prononce degrad grossi encourag impress assur docu pai semblent oublieux compt tenu deprim servic reinser choqu person;-1
service concerne  pole emploi de lunelapres avoir exerce le meme metier pendant 16 ans  je ne souhaitais plus l exercer et voulais donc entamer une reconversion professionnelle  mais cela representait un gros changement et beaucoup d apprehensions  ma conseillere du pole emploi de lunel a ete a mon ecoute et m a aide a construire ce nouveau projet  pour cela  j ai pu echanger avec un psychologue du travail  et j ai ensuite beneficie de la prestation activ  projet  celle ci m a permis de definir clairement un nouveau projet et de mettre en place les actions necessaires pour me reconvertir  j ai pu entamer une formation pour commencer a me former a mon nouveau metier  aujourd hui je suis en contrat de professionnalisation afin de pouvoir obtenir un diplome dans ce nouveau metier ma conseillere a ete disponible et a repondu a mes questions tout au long de ce parcours et son aide a ete precieuse  elle a su me proposer les bons outils pour entamer cette reconversion  sans cela je n aurais sans doute pas ose  sauter le pas  ;1;['servic', 'lunelapr', 'exerc', '16', 'exerc', 'entam', 'reconvers', 'represent', 'apprehens', 'lunel', 'construir', 'psychologu', 'benefic', 'defin', 'reconvert', 'entam', 'format', 'contrat', 'professionnalis', 'precieux', 'entam', 'reconvers', 'ose', 'saut'];servic lunelapr exerc 16 exerc entam reconvers represent apprehens lunel construir psychologu benefic defin reconvert entam format contrat professionnalis precieux entam reconvers ose saut;-1
depuis plus de 8 mois  je cherche du travail  je postule tous les jours et rien  j ai recu un courrier pour appeler la ligne verte  apres 3 jours j ai recu un appel d une conseillere pole emploi courbessac qui m a donner rendez vous ce vendredi 13  en arrivant  j ai ete surprise  je m attendais pas a ca   une femme incroyable  a l ecoute  qui a de suite pris en compte ma situation en m aidant a la recherche d emploi  j ai meme un rendez vous avec un employeur pour un entretien d embauche  je croise les doigts  la seule chose que j ai a dire c est que ma conseillere est en quelque sorte mon ange gardien  merci pour tout du fond du cur  aujourd hui je partage mon experience et j en suis tres contente  ne baissez jamais les bras  tot ou tard a force de persuasion vos efforts finiront par etres recompenses ;1;['courri', 'vert', 'courbessac', 'vendred', '13', 'arriv', 'attend', 'femm', 'compt', 'employeur', 'crois', 'doigt', 'ange', 'gardien', 'fond', 'cur', 'partag', 'content', 'baiss', 'bras', 'tot', 'persuas', 'effort', 'etre', 'recompens'];courri vert courbessac vendred 13 arriv attend femm compt employeur crois doigt ange gardien fond cur partag content baiss bras tot persuas effort etre recompens;1
apres mon deuxieme emploi je suis tombee dans le chomage  j ai essaye par mes moyens de chercher un travail  je n y suis pas arrivee malgre ma motivation je suis restee dans cette situation pendant pres de 9 mois  et un jour  en allant a pole emploi  une agente d accueil m a conseille de m inscrire a l accompagnement intensif pour les jeunes  je me suis inscrite  j ai tres vite eu un rendez vous  j ai eu un rendez vous a l agence de pole emploi des 7 collines a nimes  la personne a bien pris le temps de m ecouter  elle m a conseillee et elle m a aidee dans mes demarches puisque qu elle prenait souvent contact avec moi et me donner de nombreux rendez vous  et en moins de 2 mois j ai eu un poste  donc je suis tres satisfaite de cet accompagnement ;1;['tombe', 'chomag', 'arrive', 'reste', '9', 'allant', 'agent', 'intens', 'jeun', 'inscrit', 'agenc', 'collin', 'nim', 'person', 'conseille', 'aide', 'demarch', 'pren', 'contact', 'satisfait'];tombe chomag arrive reste 9 allant agent intens jeun inscrit agenc collin nim person conseille aide demarch pren contact satisfait;-1
j ai travaille pendant 2 ans dans un foyer d hebergement pour personne agee autonome  je travaillais de nuit a gerer et veiller a la securite de plus d une centaine de residents alors que j etais toute seule  une nuit  une residente a mis fin a ses jours en sautant de son balcon   5eme etage   alors que je me trouvais a quelques metres lors de sa chute  a la suite de cet incident j ai donne ma demission en aout 2019  je m inscris donc a pole emploi meme si je sais que j ai une carence de 4 mois suite a ma demission nous sommes aujourd hui en fevrier 2020 et a cette heure je n ai plus aucune rentree d argent  je devais passer fin janvier en commission paritaire mais on m a annonce que la commission n avait pas pu decider sur mon dossier et souhaitait savoir si j avais travaille au mois de janvier  le comble de poser ce genre de question alors que vous n avez aucun moyen de vous deplacer  j ai des retards de loyer  des retards de factures et la seule chose qu on ose me dire   fallait pas demissionner  tant que pole emploi n a pas officiellement rejete mon dossier  je ne peux acceder au rsa je ne comprends pas pourquoi blamer des gens qui ont travaille et cotise pour ce qui leur revient de droit  une envie intense de quitter ce monde   ;1;['foi', 'heberg', 'person', 'autonom', 'nuit', 'veil', 'securit', 'centain', 'resident', 'nuit', 'resident', 'saut', 'balcon', '5em', 'etag', 'metr', 'chut', 'incident', 'demiss', '2019', 'inscris', 'carenc', 'demiss', 'rentre', 'argent', 'commiss', 'paritair', 'commiss', 'decid', 'dossi', 'combl', 'pos', 'retard', 'retard', 'ose', 'demission', 'officiel', 'dossi', 'rsa', 'blam', 'revient', 'intens', 'quitt'];foi heberg person autonom nuit veil securit centain resident nuit resident saut balcon 5em etag metr chut incident demiss 2019 inscris carenc demiss rentre argent commiss paritair commiss decid dossi combl pos retard retard ose demission officiel dossi rsa blam revient intens quitt;1
la caf m annonce que j ai eu un trop percu  pas la premiere fois     suite a un soit disant paiement de pole emploi en complement de mon salaire  j avertis la caf que je n ai pas touche le montant qu ils mentionnent  ils me renvoient vers pole emploi qui m indique les sommes recus et ne figure pas le montant mentionne par pole emploi  reponse de la caf ce montant n apparait pas car ce serait un trop percu du mois precedent  rebelotte et retour a pole emploi qui stipule dans un nouveau document qu il n y a eu aucun trop percu ces 3 dernieres annees  document depose en main propre a l agent de guichet qui consulte le document puis me dit de le mettre dans la boite dediee  resultat 5 jours apres je recois sur mon espace un message disant que ma demande a ete traitee  au final rien ne change sur mes droits je leur doit toujours deux mois d allocation logement  je viens de finir de les rembourser  depuis ce jour j ai decide de ne plus declarer mes revenus afin de ne rien toucher de leur part que ce soit les apl ou la prime d activite  j ai egalement pas divulguer les coordonnees bancaires de mon bailleur afin qu il ne percoit rien et que je paye mon loyer dans la totalite  c est navrant d en arriver la mais j ai perdu patience avec la caf a devoir prouver des informations qu ils pourraient consulter via le pole emploi ;1;['caf', 'pai', 'compl', 'salair', 'avert', 'caf', 'mentionnent', 'renvoient', 'recus', 'figur', 'repons', 'caf', 'appar', 'rebelott', 'stipul', 'docu', 'dernier', 'docu', 'main', 'propr', 'agent', 'guichet', 'docu', 'dedie', 'traite', 'alloc', 'log', 'rembours', 'declar', 'revenus', 'apl', 'divulgu', 'bancair', 'bailleur', 'percoit', 'pay', 'totalit', 'navr', 'patienc', 'caf', 'prouv'];caf pai compl salair avert caf mentionnent renvoient recus figur repons caf appar rebelott stipul docu dernier docu main propr agent guichet docu dedie traite alloc log rembours declar revenus apl divulgu bancair bailleur percoit pay totalit navr patienc caf prouv;1
apres dans annees de galeres et de souffrance du a la maladie  fin 2018   je suis licencie pour inaptitude  mes droits de chomage etant tres faible   je prends rdv au ccas de ma commune  on me conseille de deposer un dossier pour une pension d invalidite   aahfevrier 2019 je depose mes dossiers en continuant a percevoir mon chomage  6 mois plus tard    je recois mes decisions et on me verse les 6 mois en arrieredecembre 2019 je recois au recommande de trop percu de 2070 euro de l anpe  2020 je rembourse 100 euro par mois a un huissierjanvier 2021 je declare mes ressources 2019 2020 et on me deduit 55o euro de aah 60 euro aplaujourd hui  je vais vivre avec quoi  je me sens tres mal et depasse bravo l administratif ;1;['galer', 'souffranc', 'malad', '2018', 'licenc', 'inaptitud', 'chomag', 'faibl', 'prend', 'rdv', 'ccas', 'dossi', 'pension', 'invalidit', 'aahfevri', '2019', 'dossi', 'percevoir', 'chomag', 'decis', 'arrieredecembr', '2019', 'recommand', '2070', 'anpe', 'rembours', '100', 'huissierjanvi', 'declar', 'ressourc', '2019', 'deduit', '55o', 'aah', '60', 'aplaujourd', 'dep', 'administr'];galer souffranc malad 2018 licenc inaptitud chomag faibl prend rdv ccas dossi pension invalidit aahfevri 2019 dossi percevoir chomag decis arrieredecembr 2019 recommand 2070 anpe rembours 100 huissierjanvi declar ressourc 2019 deduit 55o aah 60 aplaujourd dep administr;-1
