Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
c est indique ouvert le lundi 31 octobre sur internet puis arrivee devant la porte il est notifie que l agence est ferme  le 31 10 n est pas un jour ferie  ;1;0;['ouvert', 'lund', '31', 'internet', 'arrive', 'agenc', 'ferm', '31'];ouvert lund 31 internet arrive agenc ferm 31;-1
le personel manque vraiment d empathie envers les personnes inscrits au pole emploi aucune discretion concernant le traitement de nos donnees personnelles on demande aux conseilleres une aide sur les ordinateurs concernent notre espace personnel documents a scanner ect ect on a l impression de les deranger plus qu autre chose    aucun sourire c est a peine si on vous dit bonjour  je suis profondement choquee par ce manque de politesse et de discretion  vraiment il manque une formation a ce personel sur le site romans;0;1;['personel', 'empath', 'enver', 'person', 'inscrit', 'discret', 'personnel', 'concernent', 'personnel', 'docu', 'ect', 'ect', 'impress', 'derang', 'sourir', 'profond', 'choque', 'politess', 'discret', 'format', 'personel', 'roman'];personel empath enver person inscrit discret personnel concernent personnel docu ect ect impress derang sourir profond choque politess discret format personel roman;-1
aucune offre a notre demande;1;0;['offre'];offre;0
disons que chez eux si tout se passe bien c est cool  l accueil est parfait  les conseillers n ont aucun probleme a vous rappeler pour vous expliquer les choses clairement etc   mais alors si pole emploi est responsable d un probleme dans votre dossier  vous aurez face a vous la definition meme de la mauvaise foi  des gens qui vous parle comme a un chien et qui s etonnent ensuite que vous leur repondiez sur le meme ton    a ce jour aucune excuse pour une erreur qui pourtant vient bien de leur logiciel  bravo changez rien   ;1;0;['dison', 'cool', 'parf', 'respons', 'dossi', 'fac', 'definit', 'foi', 'chien', 'etonnent', 'vient', 'chang'];dison cool parf respons dossi fac definit foi chien etonnent vient chang;2
des salaries avec qui ont pourrait confondre pour de simple figurants  un suivie qui n aboutit generalement a rien  pour cherche du boulot il ne faut pas compter sur eux  ce sont des incapables et c est une honte;1;0;['confondr', 'figur', 'about', 'general', 'boulot', 'compt'];confondr figur about general boulot compt;-1
conseillere professionnelle  de la place pour se garer  ;1;0;[];;0
conseil    le batiment du pole emploie se situe en fait a cote du batiment sncf mobilities    pas trop loin de l arret de bus num 11 semard ou sinon marcher de la gare de saint pierre des corps en ligne droite;1;0;['situ', 'sncf', 'bus', 'num', '11', 'semard', 'march', 'saint', 'pierr', 'corp'];situ sncf bus num 11 semard march saint pierr corp;-1
l adresse sur google est pas le bon alors quand on connais pas on est vite perdu  mais mettez le bon adresse  incroyable;1;0;['googl'];googl;0
aujourd hui 13 juillet  je suis devant l entree et c est ferme  pas mal de personnes vont et viennent et se cassent le nez  sur le net c est ecrit ouvert    ;1;0;['13', 'juillet', 'entre', 'ferm', 'person', 'viennent', 'cassent', 'nez', 'net', 'ouvert'];13 juillet entre ferm person viennent cassent nez net ouvert;0
super accueil  une aide precieuse de demarches sur ordinateur   merci ;1;0;['precieux', 'demarch'];precieux demarch;0
je mets 2 etoiles pour l ensemble des services de pole emploi  a savoir  mauvais calculs des allocations   des montants qui changent constamment  une demande de trop percu car j aurai travaille sur la periode  ce qui n est pas le cas   une impossibilite de changer de rib en ligne  des rdv tres difficiles a modifier deplacer  un service de communication inexistant  on ne peut echanger que via le site internet sans contact direct     bref  l administration dans toute sa splendeur  c est pire que la mdph ou la caf qui sont pourtant deja des experts en termes de longueur delais difficultes de contact ;1;0;['ensembl', 'servic', 'mauv', 'alloc', 'changent', 'const', 'impossibilit', 'rib', 'rdv', 'difficil', 'servic', 'inexist', 'internet', 'contact', 'administr', 'splendeur', 'mdph', 'caf', 'expert', 'longueur', 'contact'];ensembl servic mauv alloc changent const impossibilit rib rdv difficil servic inexist internet contact administr splendeur mdph caf expert longueur contact;2
service inexistant  a chaque fois que je demande de l aide a ma conseillere elle me repond de me debrouiller  voir sur mon espace  et me laisse a patauger seule  aucun suivi des dossiers bref agence a fuir ;0;1;['servic', 'inexist', 'debrouill', 'pataug', 'dossi', 'agenc', 'fuir'];servic inexist debrouill pataug dossi agenc fuir;1
j ai hate de trouver un un emploie surtout   ;1;0;['hat'];hat;0
j ai recu un tres bon accueil et vu des gens patients et engages   le systeme d information etant archaique  le personnel semble gerer la complexite des demandes de documents  neanmoins ils le font avec patience et ecoute;1;0;['patient', 'engag', 'system', 'archaiqu', 'personnel', 'complexit', 'docu', 'neanmoin', 'patienc'];patient engag system archaiqu personnel complexit docu neanmoin patienc;-1
franchement  nous sommes alles ce matin  on avait peur vu les mauvais avis ici  au contraire   une tres bonne experience a l entree   des gens tres competents  pro  gentils et bienveillant  tres utile egalement l aide sur les programmes d ordinateurs et l inscripten sur place   nous sommes tres contents de cette experience positive   ;1;0;['peur', 'mauv', 'entre', 'competent', 'pro', 'gentil', 'util', 'programm', 'inscripten', 'content'];peur mauv entre competent pro gentil util programm inscripten content;-1
aucune communication  le site ne marche jamais ;1;0;[];;0
