Description;e-mail;Description_2;Description_3;clusters
seul inconvenienteniant et pas des moindres  les courriers automatiques de menaces auxquelles il faut repondre alors que le dossier est a jour ;1;['inconvenienteni', 'moindr', 'courri', 'auxquel', 'dossi'];inconvenienteni moindr courri auxquel dossi;3
service indemnisation qui ne fait absolument pas son travail inscrit depuis avril 2020 on me dit que mon inscription est pris en compte en juin 2020 sauf que j ai toute les preuves qu il font n importe quoi et dise bien ce qu il veule pour bacler les dossier    demande des documents deja envoye plus de 20 fois     des reponses toute faite et qui ont rien a voir avec ce qu ils ont dit la veille en attendant j ai 1 mois dans le vent due a l incompetence de ces dernier mais je ne vais pas me laisser faire   la personne au bout du fil coupe la parole et meprisante desagreable soupire a tout bout de chant et ne veux absolument rien entendre pretextant que c est nous les con       mail et courrier envoye au directeur suite a l incompetence de ces derniers   bravo pole emploi la vous faite tres fort  ;1;['servic', 'indemnis', 'inscrit', 'compt', 'juin', 'preuv', 'veul', 'bacl', 'dossi', 'docu', 'repons', 'veil', 'attend', 'vent', 'du', 'incompetent', 'person', 'fil', 'coup', 'parol', 'mepris', 'soupir', 'chant', 'entendr', 'pretext', 'courri', 'directeur', 'incompetent', 'derni'];servic indemnis inscrit compt juin preuv veul bacl dossi docu repons veil attend vent du incompetent person fil coup parol mepris soupir chant entendr pretext courri directeur incompetent derni;2
au lieu de menacer ma fille d un avertissement de radiation pour un appel manque suite au mauvais fonctionnement reseau   ouais ca arrive     alors qu en plus elle sort d une formation de mars a juillet   et que la elle vient de debuter les vendanges        donc ouai vous allez recevoir le contrat via mail  aller donc faire des menaces aux personnes qui refusent vos formations ainsi que les vendanges et qui sont indemnises      ce qui n est pas le cas de ma fille      quand on change les conseilleres a longueur d annee il faudrait peut etre qu elle se mette les dossiers a jour dans leur crane   a bon entendeur    ;1;['fill', 'avert', 'appel', 'mauv', 'reseau', 'ouais', 'format', 'juillet', 'vient', 'debut', 'vendang', 'ouai', 'contrat', 'person', 'refusent', 'format', 'vendang', 'indemnis', 'fill', 'longueur', 'dossi', 'cran', 'entendeur'];fill avert appel mauv reseau ouais format juillet vient debut vendang ouai contrat person refusent format vendang indemnis fill longueur dossi cran entendeur;-1
je ne peux pas donner d avis sur l accueil physique mais concernant les echanges mails et telephoniques  je n ai jamais ete aussi bien  accueillie   les reponses sont rapides  claires et respectueuses ;1;['repons', 'rapid', 'clair', 'respectu'];repons rapid clair respectu;3
inadmissible    indique ouvert sur google et arrivant devant la porte   un papier indiquant ferme le jeudi   les conseillers ne repondent pas aux mails bref de qui se fout on    ;1;['inadmissibl', 'ouvert', 'googl', 'arriv', 'ferm', 'jeud', 'repondent', 'fout'];inadmissibl ouvert googl arriv ferm jeud repondent fout;3
agence d incapable  annonce des trop percus alors que les actualisation etais faite en temps et en heure  directeur d agence qui n assume pas et qui decide de cloturer la discussion par mail quand on lui annonce qu ont conteste ce trop percus   la seule etoile que je suis oblige de mettre reviens a la conseillere qui m avais accompagne dans mon projet de formation l annee derniere et qui faisait elle  parfaitement son travail  contrairement a d autre  ;1;['agenc', 'percus', 'directeur', 'agenc', 'assum', 'clotur', 'discuss', 'contest', 'percus', 'revien', 'format'];agenc percus directeur agenc assum clotur discuss contest percus revien format;-1
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;-1
tres bon accueil  disponibilite et courtoisie  ils repondent meme le dimanche par mail   sourire telephonique  traitement immediat ou a peine differe de quelques heures  patience et reactivite  malgre nombreuses demandes formulees  j en suis si etonnee que j ai decide de le noter ici dans l espoir qu ils le lisent egalement  on ne le dit pas assez quand les agents font un bon travail  merci a vous ;1;['disponibilit', 'courtois', 'repondent', 'dimanch', 'sourir', 'immediat', 'differ', 'patienc', 'reactivit', 'nombreux', 'formule', 'etonne', 'espoir', 'lisent', 'agent'];disponibilit courtois repondent dimanch sourir immediat differ patienc reactivit nombreux formule etonne espoir lisent agent;-1
tres decue  ma conseillere n etait pas tres investie  plusieurs appels  plusieurs relances  derniers mails sans reponse       je me suis retrouvee en fin de droit sans infos ni ressources  j aurais pense etre mieux accompagnee ;1;['invest', 'appel', 'derni', 'repons', 'retrouve', 'infos', 'ressourc', 'accompagne'];invest appel derni repons retrouve infos ressourc accompagne;-1
je travail depuis 2002 avec quelques passage via pole emploi   j ai arreter mon ancien metier en mai 2020   j ai etait malade pendant 5 mois et en stand bye pendant 2 mois   j ai perdue de l argent a cause de sa arret maladie de quatre jours   puis j ai effectuer une formation en debut d annee 2021que jai reussi et depuis se temps je recherche du travail   en fevrier 2022 j ai trouver un cdd de deux mois et demi   et depuis je suis a la recherche mais fin de droit se termine dici quelques jour   durant mon chomage j ai eu l occasion de voir ma conseiller que5 6 fois par mail et quelque fois par telephone    elle m a envoyer une annonce qu au finale c etait negatif  je n est eu aucune autre aide de sa par   pole emploi m a proposer de faire un vsi en fin d are et je doit etre seule pour faire ma demarche pour rechercher du taff   je veux bien etre comprehensible  mais la sa m enerve en sachant que je suis active dans ma recherche d emploi  ;1;['2002', 'passag', 'malad', 'stand', 'bye', 'perdu', 'argent', 'malad', 'quatr', 'format', '2021que', 'cdd', 'dem', 'dic', 'chomag', 'occas', 'que5', 'vsi', 'demarch', 'taff', 'comprehensibl', 'enerv'];2002 passag malad stand bye perdu argent malad quatr format 2021que cdd dem dic chomag occas que5 vsi demarch taff comprehensibl enerv;2
