Description;e-mail;Description_2;Description_3;clusters
suite a la fin d un cdd  j ai eu une periode de chomage tres courte durant laquelle je n ai jamais pu percevoir d indemnites malgre mes nombreuses relances  sur le site de pole emploi  certains documents etaient declares comme illisibles alors que toutes les informations necessaires etaient parfaitement lisibles pour commencer  les documents ont d abord ete mis sur la plateforme dans les bonnes categories  mais il n y avait pas la possibilite de les mettre a jour quand on m a dit qu ils etaient illisibles  j ai donc mis de nouvelles copies des documents dans des categories qui ne leur correspondaient pas  j ai bien evidemment recu un message comme quoi je m etais trompe de categorie et que mes documents etaient refuses  ces categories ont ensuite ete bloquees et impossible de proceder a de nouveaux envois  j ai donc decide d envoyer mes documents par email  mais ils etaient trop lourds pour les adresses mails des employes  j ai donc utilise wetransfer et par mesure de precaution j ai envoye les copies des documents par la poste au pole emploi des hauts de seine  a rueil malmaison   quelques jours plus tard j ai ete radie pour ne pas avoir envoye mes documents  je me suis reinscrit et j ai recommence toute la procedure sans avoir eu gain de causes  j ai bien entendu precise ma situation a chaque fois par email ;1;['cdd', 'chomag', 'court', 'percevoir', 'indemnit', 'nombreux', 'docu', 'declar', 'illisibl', 'lisibl', 'docu', 'abord', 'plateform', 'categor', 'illisibl', 'docu', 'categor', 'tromp', 'categor', 'docu', 'categor', 'bloque', 'proced', 'envois', 'docu', 'lourd', 'wetransf', 'precaut', 'docu', 'haut', 'sein', 'rueil', 'malmaison', 'docu', 'reinscr', 'recomment', 'procedur', 'gain', 'caus', 'entendu'];cdd chomag court percevoir indemnit nombreux docu declar illisibl lisibl docu abord plateform categor illisibl docu categor tromp categor docu categor bloque proced envois docu lourd wetransf precaut docu haut sein rueil malmaison docu reinscr recomment procedur gain caus entendu;2
j ai un projet de creation d entreprise pour la rentree de septembre  j ai envoye un mail a ma conseillere le 10 06  a ce jour je suis toujours sans reponse  j ai pourtant besoin d eclaircissements avant de pouvoir reellement avancer dans mes demarches;1;['rentre', '06', 'repons', 'eclairc', 'demarch'];rentre 06 repons eclairc demarch;-1
les courriels emis par les services de pole emploi ne sont pas proprement chiffres et signes  ce qui represente un reel souci de securite et de vie privee ;1;['courriel', 'emis', 'servic', 'propr', 'represent', 'souc', 'securit', 'prive'];courriel emis servic propr represent souc securit prive;-1
je remarque que les conseillers polemploi dans ma commune ne connaissent strictement rien a la creation d entreprise  ils melangent les textes de lois de la micro entreprise des autres statuts  au resultat  ils ne vous payent pas vos indemnites a temps  ce qui fait des trous dans ma tresorerie  a chaque fois  il faut se battre pour etre payer correctement  non seulement  la micro entreprise me prend du temps mais en plus polemploi me met des battons dans les roues   ;1;['remarqu', 'polemploi', 'connaissent', 'strict', 'melangent', 'lois', 'micro', 'payent', 'indemnit', 'trous', 'tresorer', 'battr', 'pai', 'micro', 'polemploi', 'batton', 'rou'];remarqu polemploi connaissent strict melangent lois micro payent indemnit trous tresorer battr pai micro polemploi batton rou;2
rien ne fonctionne  complexe conseillers qui vendent leur produit pour prouver qu ils servent a qlq chosegros budget pour peu de resultatsquand le gouvernement va reagir et fermer ces etablissements qui coutent tres cherje remercie les agences d interim ;1;['vendent', 'produit', 'prouv', 'qlq', 'chosegros', 'budget', 'resultatsquand', 'gouvern', 'reag', 'ferm', 'etabl', 'coutent', 'cherj', 'agenc', 'interim'];vendent produit prouv qlq chosegros budget resultatsquand gouvern reag ferm etabl coutent cherj agenc interim;-1
le 19 avril 2017  j ai ete licencie de mon poste d hotesse d accueil en entreprise sans preavis et sans procedureje me suis inscrite au pole emploi d asnieres sur seine le en avril 2017 de la ville d asnieres sur seinele pole emploi a refuse de finaliser la procedure dama qui permet la transmission de mon actualisation au pole emploi pour le versement de mes indemnites de chomage tout les mois  j ai ete oblige de reclamer a l accueil une attestation d actualisation que j envoyais moi meme par e mail au gestionnaire de la reunion des musees nationaux  les delais de versement de mes indemnites de chomage n etaient pas respectes  le pole emploi ne me remettait pas d attestation de versement de mon chomage  j ai ete accueilli a chaque fois comme une personne etrangere et en situation d irregularites  j ai ete denigre suite a mon demenagement vers la ville de capesterre belle eau  le pole emploi m a informe que la transmission de mon dossier vers la guadeloupe prendrait plus d une annee le pole emploi de capesterre belle eau a dit que j etais inscrite au pole emploi depuis le 13 fevrier 2018  je me suis toujours actualise dans les delais  le pole emploi a modifie a plusieurs reprises ma date d inscription au pole emploi le pole emploi de capesterre belle eau a refuse de l accorder l aide a l obtention du permis de conduire  le pole emploi a refuse de me remettre l entierete de mes indemnites de chomage salarie le pole emploi a refuse de me remettre mes indemnites d artiste auteur pour mon activite de creatrice textileplusieurs demandes de formation m ont ete refuse ;1;['19', '2017', 'licenc', 'hotess', 'preav', 'procedurej', 'inscrit', 'asnier', 'sein', '2017', 'asnier', 'seinel', 'procedur', 'indemnit', 'chomag', 'reclam', 'attest', 'e', 'gestionnair', 'muse', 'national', 'indemnit', 'chomag', 'respect', 'remet', 'attest', 'chomag', 'person', 'etranger', 'irregularit', 'denigr', 'demenag', 'capesterr', 'eau', 'dossi', 'guadeloup', 'prendr', 'capesterr', 'eau', 'inscrit', '13', '2018', 'capesterr', 'eau', 'accord', 'obtent', 'conduir', 'remettr', 'entieret', 'indemnit', 'chomag', 'remettr', 'indemnit', 'artist', 'auteur', 'creatric', 'textileplusieur', 'format'];19 2017 licenc hotess preav procedurej inscrit asnier sein 2017 asnier seinel procedur indemnit chomag reclam attest e gestionnair muse national indemnit chomag respect remet attest chomag person etranger irregularit denigr demenag capesterr eau dossi guadeloup prendr capesterr eau inscrit 13 2018 capesterr eau accord obtent conduir remettr entieret indemnit chomag remettr indemnit artist auteur creatric textileplusieur format;2
malgre les mails envoyes  2 semaines avant  pour demander un document indispensable pour une inscription a un concours  reorientation professionnelle  en precisant la date buttoir pour un des etablissements en vue  impossible d obtenir un rendez vous meme telephonique avant la dite date  resultat  la conseillere au telephone explique qu elle va envoyer le document des la fin de l appel  11h30   document recu a 15h  impossible a ouvrir  la derniere levee etant a 16h  deux jours apres la conseillere envoie un mail    desolee  je suppose qu il est trop tard   idem pour une convention de stage  document transmis il y a 3 semaines  stages dans 2 semaines  toujours aucun retour ;1;['docu', 'indispens', 'concour', 'reorient', 'buttoir', 'etabl', 'docu', 'appel', '11h30', 'docu', '15h', 'leve', '16h', 'desole', 'suppos', 'idem', 'convent', 'docu'];docu indispens concour reorient buttoir etabl docu appel 11h30 docu 15h leve 16h desole suppos idem convent docu;2
je demande ma mise a la retraite  impossible d avoir un conseiller  pole emploi me demande un formulaire de regularisation de retraite impossible de l obtenir  a partir de mars  pole emploi ne me versera plus mes aides  ;1;['retrait', 'formulair', 'retrait'];retrait formulair retrait;-1
je suis un senior de 58 ans qui a souhaite devenir autoentrepreneur apres son licenciement fin mars  j ai sollicite a plusieurs reprises mon conseiller pole emploi pour m aider dans mes demarches   pas le temps de me recevoir  j ai commis une erreur en construisant mon dossier qui aurait pu etre eviter si j avais beneficie de l aide demandee  j ai trouve une mission suite a 4 entretiens avec une societe de prestations dans le cadre de ma nouvelle entreprise  celle ci  debutera debut mai prochain  il est important d etre soutenu dans la premiere periode de chomage car cela determine son investissement personnel et sa politique de recherche d emploi  l humain est important pour affronter l epreuve du chomage  internet ne suffit pas     ;1;['senior', '58', 'deven', 'autoentrepreneur', 'licenci', 'demarch', 'comm', 'construis', 'dossi', 'benefic', 'demande', 'debut', 'soutenu', 'chomag', 'determin', 'invest', 'personnel', 'polit', 'affront', 'epreuv', 'chomag', 'internet', 'suff'];senior 58 deven autoentrepreneur licenci demarch comm construis dossi benefic demande debut soutenu chomag determin invest personnel polit affront epreuv chomag internet suff;-1
j ai suivi le programme d accompagnement intensif jeune de pole emploi  ma conseillere a ete tres a l ecoute  ce programme m a ete d une grande aide puisque j ai pu passer une formation essentielle pour la suite de mon projet professionnel ;1;['programm', 'intens', 'jeun', 'programm', 'format', 'essentiel'];programm intens jeun programm format essentiel;1
service concerne  pole emploi de lunelapres avoir exerce le meme metier pendant 16 ans  je ne souhaitais plus l exercer et voulais donc entamer une reconversion professionnelle  mais cela representait un gros changement et beaucoup d apprehensions  ma conseillere du pole emploi de lunel a ete a mon ecoute et m a aide a construire ce nouveau projet  pour cela  j ai pu echanger avec un psychologue du travail  et j ai ensuite beneficie de la prestation activ  projet  celle ci m a permis de definir clairement un nouveau projet et de mettre en place les actions necessaires pour me reconvertir  j ai pu entamer une formation pour commencer a me former a mon nouveau metier  aujourd hui je suis en contrat de professionnalisation afin de pouvoir obtenir un diplome dans ce nouveau metier ma conseillere a ete disponible et a repondu a mes questions tout au long de ce parcours et son aide a ete precieuse  elle a su me proposer les bons outils pour entamer cette reconversion  sans cela je n aurais sans doute pas ose  sauter le pas  ;1;['servic', 'lunelapr', 'exerc', '16', 'exerc', 'entam', 'reconvers', 'represent', 'apprehens', 'lunel', 'construir', 'psychologu', 'benefic', 'defin', 'reconvert', 'entam', 'format', 'contrat', 'professionnalis', 'precieux', 'entam', 'reconvers', 'ose', 'saut'];servic lunelapr exerc 16 exerc entam reconvers represent apprehens lunel construir psychologu benefic defin reconvert entam format contrat professionnalis precieux entam reconvers ose saut;-1
tres bonne experience  une conseillere a l ecoute et tres reactive a toutes mes interrogations et besoins  ;1;['reactiv', 'interrog', 'besoin'];reactiv interrog besoin;-1
suite a une demande invalidite pour la cpam  je ne peux plus recuperer mes anciennes attestions  mensuelles et globales  pole emploi  il m a ete repondu que sur mon espace personnel p e   on pouvait recuperer 6 mois par 6 mois  cela n est pas exact  je suggere un  e coffre  heberge soit par la carsat  des le debut de carriere   soit par la cpam  puisqu on a un numero de secu des le 1er emploi   ou toute autre e administration qui semblerait judicieuse a cause de cela  je ne vais pas pouvoir finaliser ma demande invalidite  je suis a 100  exonerante   ni beneficier de mes justificatifs pour ma retraite ;1;['invalidit', 'cpam', 'recuper', 'attest', 'global', 'personnel', 'p', 'e', 'recuper', 'exact', 'sugger', 'e', 'coffr', 'heberg', 'carsat', 'cpam', 'puisqu', 'secu', 'e', 'administr', 'sembl', 'judici', 'invalidit', '100', 'exoner', 'justif', 'retrait'];invalidit cpam recuper attest global personnel p e recuper exact sugger e coffr heberg carsat cpam puisqu secu e administr sembl judici invalidit 100 exoner justif retrait;-1
