"entite";"review_text";"rating";"rel_date";"convert_1";"annee"
"POLE EMPLOI DIGNE-PE";"J'y travaille.";"2";"il y a 2 mois";"il y a 2 mois";"2023"
"POLE EMPLOI DIGNE-PE";"Aucun";"3";"il y a 4 mois";"il y a 4 mois";"2023"
"POLE EMPLOI DIGNE-PE";"Aucun";"5";"il y a 5 mois";"il y a 5 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Franchement bravo a toute l équipe,qui à été à mon écoute et mon dossier n était vraiment pas facile de l acceuil aux référents une équipe formidable (md Allard/ mr Kevin / le responsable d équipe/la dame au cheveux bouclés noir toujours avec le sourire /le mr de l acceuil avec des lunette et une barbe)j ai toujours ete bien recue et accompagnée un grand merci.👏👏👏👏👏";"5";"il y a 6 mois";"il y a 6 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Aucun";"2";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Pas de suivie., on se fou des gent, aucun service.";"1";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Gros problème d'indemnisation a cause de mon employeur, j'ai eu à faire à 2 dames a l'accueil qui ont été super, Gentille, bienveillante...au moins quelqu'un qui ont pris mes soucis au sérieux ( le 3949 a par s'en prendre plein la tête jme demande bien à quoi ils servent)
En tout cas je remercie vraiment l'équipe de pôle emploi digne !";"5";"il y a 8 mois";"il y a 8 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Aucun";"1";"il y a 9 mois";"il y a 9 mois";"2022"
"POLE EMPLOI DIGNE-PE";"Aucun";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI DIGNE-PE";"Aucun";"5";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI DIJON SUD-PE";"Aucun";"1";"il y a 7 mois";"il y a 7 mois";"2022"
"POLE EMPLOI DIJON SUD-PE";"Accueil.. Irréprochable 😀 …";"4";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI DIJON SUD-PE";"Aucun";"5";"il y a 10 mois";"il y a 10 mois";"2022"
"POLE EMPLOI DIJON SUD-PE";"Des incapables pas professionnel  1y pour les avoir au téléphone et après elle se permet de traiter les gens de mauvaise fois pour leur incapacité franchement à fuir";"1";"il y a un an";"il y a 1 an";"2022"
"POLE EMPLOI DIJON SUD-PE";"... En Période de Covid-19... L'Organisation est IMPECCABLE 😲🤩🧐... Masque 🎭 Obligatoire et Gel Hydroalcolique à Disposition... Les Retards sont bien gérés... Le Personnel... Vraiment Professionnel... Allez-y Vraiment Sans STRESS... …";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"Aucun";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"bonne agence !
bonne prise en charge de mon dossier
conseiller à l'écoute et compétent !

contrairement à l'agence Dijon- EST de Quetigny : une catastrophe !";"4";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"Je trouve que l'on critique beaucoup les conseillers pôle emploi et les services proposés par cette administration, mais moi depuis que je suis inscrite, j'ai toujours été bien accueillie et conseillée par les conseillers Pôle emploi ! Ils font ce qu'ils peuvent et c'est pas toujours évident ...";"5";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"L'accès est très simple les conseillers sont très compétant et souriant";"4";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"Structure nationale tristement célèbre pour son inefficacité au fil des années";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI DIJON SUD-PE";"Discute alors qu'on tente de joindre quelqu'un.
Pour que l'on s'actualise, il faut se dépêcher par contre quand on a besoin de leur service...
J'aimerai bien voir tous ces gens dans l'industrie... Ils ne feraient pas long feu...";"1";"il y a 2 ans";"il y a 2 ans";"2021"
"POLE EMPLOI RENNES EST-PE";"Aucun";"1";"il y a 2 mois";"il y a 2 mois";"2023"
"POLE EMPLOI RENNES EST-PE";"Désagréable et mauvais! Si vous n'avez besoin de rien appelez les :) et au passage perder 3/4 heures au téléphone.";"1";"il y a 4 mois";"il y a 4 mois";"2023"
"POLE EMPLOI RENNES EST-PE";"Période d'essai en droit français pour le salarié ne veut strictement rien dire ! J'aurai dû rester au chômage aujourd'hui j'aurai tjs droit à l'are mais j'ai voulu essayer, tenter de sortir de cette situation mais je n'aurai pas dû aujourd'hui j'en paie les conséquences.... merci !";"1";"il y a 5 mois";"il y a 5 mois";"2022"
